customerId,gender,mobileApp,partnerProgram,travelInsurance,tenure,redeemedMiles,familyAccount,membership,onlineAccount,traveledRecently,extraLuggage,customerSupportLast3Mos,businessClass,emailComms,travelFrequency,smsComms,paymentMethod,lastQuarterPoints,totalPoints,label
8992-CEUEN,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,18,18,false
9975-SKRNR,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,18,18,false
9318-NKNFC,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,18,18,true
3930-ZGWVE,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
1098-TDVUQ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,bank transfer,19,19,false
7302-ZHMHP,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
4800-VHZKI,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,true
7989-CHGTL,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,true
1135-LMECX,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
2866-IKBTM,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
2654-VBVPB,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,bank transfer,19,19,false
1029-QFBEN,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
3900-AQPHZ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
3717-OFRTN,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,bank transfer,19,19,false
8329-IBCTI,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
0107-WESLM,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,debit card,19,19,true
7617-EYGLW,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,19,19,false
8605-ITULD,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
1015-OWJKI,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
7551-JOHTI,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
1663-MHLHE,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
0761-AETCS,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,19,19,true
5766-ZJYBB,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
4588-YBNIB,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,true
8562-GHPPI,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
1194-SPVSP,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,bank transfer,19,19,false
2576-HXMPA,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
5906-BFOZT,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
9174-FKWZE,Female,1,false,false,1,true,false,no,false,false,false,false,false,false,high,true,debit card,19,19,true
6569-KTMDU,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
4892-VLANZ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
4232-JGKIY,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,19,19,false
8566-YPRGL,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
8393-JMVMB,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
7291-CDTMJ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,bank transfer,19,19,false
7239-HZZCX,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
2465-BLLEU,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
1905-OEILC,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
7926-IJOOU,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
2542-HYGIQ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
6124-ACRHJ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
6121-VZNQB,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,true
7853-WNZSY,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
1622-HSHSF,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
6654-QGBZZ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
7298-IZWLY,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
1156-ZFYDO,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,19,19,false
7721-DVEKZ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
9441-QHEVC,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
6141-OOXUQ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
4667-OHGKG,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,true
5143-WMWOG,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,19,19,true
3785-NRHYR,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
6286-SUUWT,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
2220-IAHLS,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
6615-ZGEDR,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,true
7601-WFVZV,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
7878-RTCZG,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
2369-FEVNO,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,19,19,false
0970-QXPXW,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,19,19,false
1066-JKSGK,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
7310-EGVHZ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,bank transfer,20,20,false
6380-ARCEH,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
8203-XJZRC,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
6579-JPICP,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
3030-ZKIWL,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
8262-COGGB,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,false
2480-JZOSN,Female,0,true,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,false
4013-GUXND,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
4661-NJEUX,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,false
1934-SJVJK,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
2592-YKDIF,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
7893-IXHRQ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,20,20,true
1349-WXNGG,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,bank transfer,20,20,true
3247-MHJKM,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
7243-LCGGZ,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
8305-VHZBZ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,true
4897-QSUYC,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,true
0673-IGUQO,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
8974-OVACP,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
5996-DAOQL,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,false
5624-BQSSA,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
8559-WNQZS,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,low,false,credit card,20,20,false
2002-MZHWP,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
2668-TZSPS,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
3148-BLQJT,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
9122-UMROB,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
0426-TIRNE,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
4634-JLRJT,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,false
9753-OYLBX,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
1240-KNSEZ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,true
7096-UCLNH,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
7698-YFGEZ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
3727-JEZTU,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
0670-KDOMA,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,false
5356-RHIPP,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,true
2876-VBBBL,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,true
8620-RJPZN,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,20,20,false
2700-LUEVA,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
7434-SHXLS,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
6728-WYQBC,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,bank transfer,20,20,false
4877-EVATK,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
4211-MMAZN,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
7814-LEEVE,Female,0,true,false,1,true,false,no,false,false,false,false,false,false,high,true,bank transfer,20,20,false
2955-PSXOE,Female,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,bank transfer,20,20,true
3976-NLDEZ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
9708-KFDBY,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
8048-DSDFQ,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,false
5088-QZLRL,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,false,debit card,20,20,false
1493-AMTIE,Male,0,false,false,1,true,false,no,false,false,false,false,false,false,high,true,bank transfer,20,20,true
5028-HTLJB,Male,1,false,false,1,true,false,no,false,false,false,false,false,false,high,false,credit card,20,20,true
6982-UQZLY,Female,1,true,false,1,true,false,no,false,false,false,false,false,false,high,true,credit card,20,20,true
